year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,9E,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",93.00,25.00,5.75,0.00,14.93,0.00,4.31,6.00,0.00,1748.00,425.00,0.00,816.00,0.00,507.00
2022,7,9E,Endeavor Air Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",52.00,15.00,4.60,0.00,3.98,0.00,6.42,0.00,0.00,1373.00,483.00,0.00,227.00,0.00,663.00
2022,7,9E,Endeavor Air Inc.,OMA,"Omaha, NE: Eppley Airfield",37.00,9.00,4.00,1.00,1.93,0.00,2.07,7.00,0.00,1563.00,608.00,507.00,272.00,0.00,176.00
2022,7,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",91.00,13.00,1.18,0.00,7.71,0.00,4.11,6.00,0.00,796.00,112.00,0.00,457.00,0.00,227.00
2022,7,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",284.00,47.00,14.02,0.62,13.27,0.00,19.09,21.00,1.00,4695.00,1499.00,16.00,1070.00,0.00,2110.00
2022,7,9E,Endeavor Air Inc.,ORH,"Worcester, MA: Worcester Regional",26.00,5.00,3.31,0.00,1.00,0.00,0.69,3.00,0.00,230.00,178.00,0.00,18.00,0.00,34.00
2022,7,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",26.00,9.00,4.72,0.47,0.51,0.00,3.30,2.00,0.00,759.00,455.00,8.00,34.00,0.00,262.00
2022,7,9E,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",247.00,46.00,11.32,2.59,14.68,0.00,17.41,18.00,0.00,3435.00,776.00,179.00,963.00,0.00,1517.00
2022,7,9E,Endeavor Air Inc.,PVD,"Providence, RI: Theodore Francis Green State",126.00,15.00,8.48,0.00,0.90,0.00,5.62,6.00,0.00,1248.00,821.00,0.00,22.00,0.00,405.00
2022,7,9E,Endeavor Air Inc.,PWM,"Portland, ME: Portland International Jetport",170.00,24.00,10.44,1.00,6.82,0.00,5.74,24.00,0.00,3801.00,1858.00,346.00,887.00,0.00,710.00
2022,7,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",499.00,91.00,33.43,0.83,21.64,0.00,35.09,50.00,1.00,8063.00,3423.00,103.00,942.00,0.00,3595.00
